species,lat,lon,country,eventDate,basisOfRecord,presence
Apis mellifera,-0.131617,37.385247,Kenya,2023-09-04T09:59:10,HUMAN_OBSERVATION,1
Apis mellifera,-1.22245,36.897435,Kenya,2023-10-05T14:00,HUMAN_OBSERVATION,1
Apis mellifera,-0.524929,36.663828,Kenya,2023-10-21T13:11,HUMAN_OBSERVATION,1
Apis mellifera,-0.597176,36.469945,Kenya,2023-10-21T11:08,HUMAN_OBSERVATION,1
Apis mellifera,-1.256703,36.816738,Kenya,2023-11-12T10:25:04,HUMAN_OBSERVATION,1
Apis mellifera,-1.291622,36.770825,Kenya,2023-11-26T17:34:06,HUMAN_OBSERVATION,1
Apis mellifera,-0.758805,36.430155,Kenya,2023-11-25T13:08:09,HUMAN_OBSERVATION,1
Apis mellifera,-1.375761,36.746102,Kenya,2023-11-24T11:29:06,HUMAN_OBSERVATION,1
Apis mellifera,-1.313725,36.750783,Kenya,2023-11-25T15:51:12,HUMAN_OBSERVATION,1
Apis mellifera,-1.263895,36.827823,Kenya,2023-11-25T10:47:19,HUMAN_OBSERVATION,1
Apis mellifera,0.413458,35.21877,Kenya,2023-12-08T16:27,HUMAN_OBSERVATION,1
Apis mellifera,-0.100877,35.934535,Kenya,2023-12-10T12:32:37,HUMAN_OBSERVATION,1
Apis mellifera,-1.243299,36.819671,Kenya,2023-12-12T18:27,HUMAN_OBSERVATION,1
Apis mellifera,-1.309298,36.923368,Kenya,2023-12-22T08:55,HUMAN_OBSERVATION,1
Apis mellifera,-1.375938,36.879134,Kenya,2023-12-22T08:51,HUMAN_OBSERVATION,1
Apis mellifera,-1.250085,36.821321,Kenya,2023-12-24T12:34,HUMAN_OBSERVATION,1
Apis mellifera,-0.179813,37.066928,Kenya,2022-01-24T21:07,HUMAN_OBSERVATION,1
Apis mellifera,-0.72756,36.646678,Kenya,2022-01-27T18:23,HUMAN_OBSERVATION,1
Apis mellifera,-0.52543,36.664043,Kenya,2022-01-27T13:10,HUMAN_OBSERVATION,1
Apis mellifera,-4.658919,39.367944,Kenya,2022-02-07T16:06,HUMAN_OBSERVATION,1
Apis mellifera,-4.337309,39.567821,Kenya,2022-02-27T06:22,HUMAN_OBSERVATION,1
Apis mellifera,-3.868469,39.658894,Kenya,2022-02-27T12:14,HUMAN_OBSERVATION,1
Apis mellifera,-3.868469,39.658894,Kenya,2022-02-27,HUMAN_OBSERVATION,1
Apis mellifera,-0.94493,36.598738,Kenya,2022-03-22T09:39:52,HUMAN_OBSERVATION,1
Apis mellifera,-0.943292,36.595996,Kenya,2022-03-22T08:58,HUMAN_OBSERVATION,1
Apis mellifera,-0.943603,36.596325,Kenya,2022-03-22T12:34:46,HUMAN_OBSERVATION,1
Apis mellifera,-0.471765,34.13576,Kenya,2022-03-31T07:49Z,HUMAN_OBSERVATION,1
Apis mellifera,-1.399463,36.851958,Kenya,2022-04-19T09:26,HUMAN_OBSERVATION,1
Apis mellifera,-1.260634,36.809002,Kenya,2022-05-08T16:55,HUMAN_OBSERVATION,1
Apis mellifera,-1.26683,36.805333,Kenya,2022-05-25T09:38:50,HUMAN_OBSERVATION,1
Apis mellifera,-0.107082,34.77124,Kenya,2022-05-31T14:40:19,HUMAN_OBSERVATION,1
Apis mellifera,-1.25797,36.787155,Kenya,2022-06-25T16:26:41,HUMAN_OBSERVATION,1
Apis mellifera,-1.2671,36.805397,Kenya,2022-06-23T09:05:43,HUMAN_OBSERVATION,1
Apis mellifera,-1.243567,36.81963,Kenya,2022-06-01T09:16,HUMAN_OBSERVATION,1
Apis mellifera,-1.258438,36.787656,Kenya,2022-06-25T15:20:10,HUMAN_OBSERVATION,1
Apis mellifera,-0.280389,36.057205,Kenya,2022-06-28T14:06:12,HUMAN_OBSERVATION,1
Apis mellifera,-1.268523,36.807225,Kenya,2022-06-25T10:27:28,HUMAN_OBSERVATION,1
